Tidb,,,,,,,,,,Oracle,,,,,,,,,Compare
PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,,PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,
1019946497,8000,09-09-25 0:00,104613,623623,970443,11111111,970406,11166,,1019946497,8000,09-09-25 0:00,104613,623623,970443,11111111,970406,11166,0
1019946497,9000,09-09-25 0:00,104614,641379,970443,11111111,970406,11168,,1019946497,9000,09-09-25 0:00,104614,641379,970443,11111111,970406,11168,0
1019946497,10000,09-09-25 0:00,104526,69338,970443,11111111,970406,11152,,1019946497,10000,09-09-25 0:00,104526,69338,970443,11111111,970406,11152,0
1019946497,10000,09-09-25 0:00,104752,100636,970443,11111111,970406,11179,,1019946497,10000,09-09-25 0:00,104752,100636,970443,11111111,970406,11179,0
1019946497,10000,09-09-25 0:00,104821,538996,970443,11111111,970406,11187,,1019946497,10000,09-09-25 0:00,104821,538996,970443,11111111,970406,11187,0
1019946497,11500,09-09-25 0:00,104525,754535,970443,11111111,970406,11151,,1019946497,11500,09-09-25 0:00,104525,754535,970443,11111111,970406,11151,0
1019946497,12000,09-09-25 0:00,104611,54931,970443,11111111,970406,11163,,1019946497,12000,09-09-25 0:00,104611,54931,970443,11111111,970406,11163,0
1019946497,12000,09-09-25 0:00,104612,530721,970443,11111111,970406,11164,,1019946497,12000,09-09-25 0:00,104612,530721,970443,11111111,970406,11164,0
1019946497,12000,09-09-25 0:00,104615,627646,970443,11111111,970406,11169,,1019946497,12000,09-09-25 0:00,104615,627646,970443,11111111,970406,11169,0
1019946497,13000,09-09-25 0:00,104612,700385,970443,11111111,970406,11165,,1019946497,13000,09-09-25 0:00,104612,700385,970443,11111111,970406,11165,0
1019946497,13000,09-09-25 0:00,104614,372101,970443,11111111,970406,11167,,1019946497,13000,09-09-25 0:00,104614,372101,970443,11111111,970406,11167,0
1019946497,14000,09-09-25 0:00,104600,242742,970443,11111111,970406,11156,,1019946497,14000,09-09-25 0:00,104600,242742,970443,11111111,970406,11156,0
1019946497,14000,09-09-25 0:00,104609,325442,970443,11111111,970406,11159,,1019946497,14000,09-09-25 0:00,104609,325442,970443,11111111,970406,11159,0
1019946497,500000,09-09-25 0:00,104520,183559,970443,11111111,970406,11147,,1019946497,500000,09-09-25 0:00,104520,183559,970443,11111111,970406,11147,0
1019946497,1000000,09-09-25 0:00,104520,722059,970443,11111111,970406,11148,,1019946497,1000000,09-09-25 0:00,104520,722059,970443,11111111,970406,11148,0
1019946497,2000000,09-09-25 0:00,104540,479043,970443,11111111,970406,11154,,1019946497,2000000,09-09-25 0:00,104540,479043,970443,11111111,970406,11154,0
1019946497,490000000,09-09-25 0:00,104539,973620,970443,11111111,970406,11153,,1019946497,490000000,09-09-25 0:00,104539,973620,970443,11111111,970406,11153,0
1019946507,5000,09-09-25 0:00,104900,827672,970443,11111111,970406,11192,,1019946507,5000,09-09-25 0:00,104900,827672,970443,11111111,970406,11192,0
1019946507,10000,09-09-25 0:00,104901,219665,970443,11111111,970406,11193,,1019946507,10000,09-09-25 0:00,104901,219665,970443,11111111,970406,11193,0
1019962879,5000,09-09-25 0:00,104623,748288,970443,11111111,970406,11170,,1019962879,5000,09-09-25 0:00,104623,748288,970443,11111111,970406,11170,0
1019962879,5000,09-09-25 0:00,104743,761121,970443,11111111,970406,11176,,1019962879,5000,09-09-25 0:00,104743,761121,970443,11111111,970406,11176,0
1019962879,5000,09-09-25 0:00,104813,798175,970443,11111111,970406,11184,,1019962879,5000,09-09-25 0:00,104813,798175,970443,11111111,970406,11184,0
1019962879,10000,09-09-25 0:00,104624,507312,970443,11111111,970406,11171,,1019962879,10000,09-09-25 0:00,104624,507312,970443,11111111,970406,11171,0
1019962879,10000,09-09-25 0:00,104744,887273,970443,11111111,970406,11177,,1019962879,10000,09-09-25 0:00,104744,887273,970443,11111111,970406,11177,0
1019962879,10000,09-09-25 0:00,104814,313224,970443,11111111,970406,11185,,1019962879,10000,09-09-25 0:00,104814,313224,970443,11111111,970406,11185,0
1019962895,5000,09-09-25 0:00,104843,327685,970443,11111111,970406,11190,,1019962895,5000,09-09-25 0:00,104843,327685,970443,11111111,970406,11190,0
1019962895,10000,09-09-25 0:00,104843,785305,970443,11111111,970406,11191,,1019962895,10000,09-09-25 0:00,104843,785305,970443,11111111,970406,11191,0
1019962947,5000,09-09-25 0:00,104758,144948,970443,11111111,970406,11180,,1019962947,5000,09-09-25 0:00,104758,144948,970443,11111111,970406,11180,0
1019962947,10000,09-09-25 0:00,104759,847684,970443,11111111,970406,11181,,1019962947,10000,09-09-25 0:00,104759,847684,970443,11111111,970406,11181,0
1019962947,500000,09-09-25 0:00,104523,75213,970443,11111111,970406,11149,,1019962947,500000,09-09-25 0:00,104523,75213,970443,11111111,970406,11149,0
1019962947,1000000,09-09-25 0:00,104523,353920,970443,11111111,970406,11150,,1019962947,1000000,09-09-25 0:00,104523,353920,970443,11111111,970406,11150,0
1019962963,5000,09-09-25 0:00,104806,869173,970443,11111111,970406,11182,,1019962963,5000,09-09-25 0:00,104806,869173,970443,11111111,970406,11182,0
1019962963,5000,09-09-25 0:00,104827,121143,970443,11111111,970406,11188,,1019962963,5000,09-09-25 0:00,104827,121143,970443,11111111,970406,11188,0
1019962963,10000,09-09-25 0:00,104807,272670,970443,11111111,970406,11183,,1019962963,10000,09-09-25 0:00,104807,272670,970443,11111111,970406,11183,0
1019962963,10000,09-09-25 0:00,104828,393618,970443,11111111,970406,11189,,1019962963,10000,09-09-25 0:00,104828,393618,970443,11111111,970406,11189,0
1019963056,5000,09-09-25 0:00,104907,976739,970443,11111111,970406,11194,,1019963056,5000,09-09-25 0:00,104907,976739,970443,11111111,970406,11194,0
1019963056,10000,09-09-25 0:00,104908,500163,970443,11111111,970406,11195,,1019963056,10000,09-09-25 0:00,104908,500163,970443,11111111,970406,11195,0
1019963072,5000,09-09-25 0:00,104914,263752,970443,11111111,970406,11196,,1019963072,5000,09-09-25 0:00,104914,263752,970443,11111111,970406,11196,0
1019963072,10000,09-09-25 0:00,104915,934410,970443,11111111,970406,11197,,1019963072,10000,09-09-25 0:00,104915,934410,970443,11111111,970406,11197,0
1019963085,5000,09-09-25 0:00,104921,73378,970443,11111111,970406,11198,,1019963085,5000,09-09-25 0:00,104921,73378,970443,11111111,970406,11198,0
1019963085,10000,09-09-25 0:00,104922,829144,970443,11111111,970406,11199,,1019963085,10000,09-09-25 0:00,104922,829144,970443,11111111,970406,11199,0
1019963360,5000,09-09-25 0:00,104723,871890,970443,11111111,970406,11175,,1019963360,5000,09-09-25 0:00,104723,871890,970443,11111111,970406,11175,0
1019963360,10000,09-09-25 0:00,104723,417822,970443,11111111,970406,11174,,1019963360,10000,09-09-25 0:00,104723,417822,970443,11111111,970406,11174,0
1019996395,5000,09-09-25 0:00,104631,477438,970443,11111111,970406,11172,,1019996395,5000,09-09-25 0:00,104631,477438,970443,11111111,970406,11172,0
1019996395,10000,09-09-25 0:00,104631,948830,970443,11111111,970406,11173,,1019996395,10000,09-09-25 0:00,104631,948830,970443,11111111,970406,11173,0
1020404504,5000,09-09-25 0:00,94353,768630,970443,11111111,970406,10961,,1020404504,5000,09-09-25 0:00,94353,768630,970443,11111111,970406,10961,0
1020404504,5000,09-09-25 0:00,101751,481871,970443,11111111,970406,11041,,1020404504,5000,09-09-25 0:00,101751,481871,970443,11111111,970406,11041,0
1020404504,5000,09-09-25 0:00,105743,622537,970443,11111111,970406,11247,,1020404504,5000,09-09-25 0:00,105743,622537,970443,11111111,970406,11247,0
1020404504,10000,09-09-25 0:00,94354,294961,970443,11111111,970406,10962,,1020404504,10000,09-09-25 0:00,94354,294961,970443,11111111,970406,10962,0
